ResponseId,Age,EdLevel,Employment,WorkExp,YearsCode,DevType,OrgSize,ICorPM,RemoteWork,Industry,Country,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,annual_salary_usd,max_reasonable_age
10380,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,25.0,30.0,"Developer, full-stack",20 to 99 employees,Individual contributor,Remote,Software Development,United States of America,Bash/Shell (all shells);C;Go;HTML/CSS;JavaScript;Perl;SQL;TypeScript,DuckDB;MariaDB;Oracle;PostgreSQL;Redis;SQLite,190000.0,54.0
10381,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,2.0,6.0,"Developer, back-end",Less than 20 employees,Individual contributor,In-person,Media & Advertising Services,France,C#,Microsoft SQL Server,35965.0,34.0
10383,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,27.0,35.0,"Developer, full-stack",20 to 99 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Australia,Bash/Shell (all shells);Elixir;Erlang;Go;HTML/CSS;JavaScript;Kotlin;Lua;Python;Ruby;Rust;SQL;Swift;TypeScript,BigQuery;Cloud Firestore;Dynamodb;Elasticsearch;Firebase Realtime Database;PostgreSQL;Redis;SQLite,149522.0,54.0
10389,25-34 years old,Some college/university study without earning a degree,"Independent contractor, freelancer, or self-employed",15.0,15.0,"Founder, technology or otherwise",Less than 20 employees,Individual contributor,Remote,Computer Systems Design and Services,Portugal,Bash/Shell (all shells);C;C++;HTML/CSS;Lisp;Lua;OCaml;Python,DuckDB;PostgreSQL;SQLite,139218.0,34.0
10407,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,8.0,7.0,"Developer, full-stack",500 to 999 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Other,Bash/Shell (all shells);JavaScript;PHP;TypeScript,MySQL;PostgreSQL,55000.0,34.0
1041,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,11.0,14.0,"Developer, full-stack",100 to 499 employees,Individual contributor,Remote,Software Development,Brazil,HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,None,13107.0,44.0
10423,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,14.0,20.0,"Developer, desktop or enterprise applications","10,000 or more employees",Individual contributor,Remote,Software Development,Germany,C#;SQL,Elasticsearch;Microsoft SQL Server,116015.0,44.0
1044,55-64 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",41.0,42.0,"Developer, full-stack",20 to 99 employees,Individual contributor,Remote,Software Development,Brazil,C#;PHP,MariaDB;PostgreSQL;SQLite,36407.0,64.0
10443,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,21.0,25.0,"Architect, software or solutions","10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Government,United States of America,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server,150000.0,54.0
10448,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,4.0,15.0,"Developer, full-stack",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Other:,Germany,Bash/Shell (all shells);HTML/CSS;PHP;Python;SQL;TypeScript,InfluxDB;MariaDB;PostgreSQL;Redis;SQLite,71465.0,44.0
1046,35-44 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,16.0,22.0,"Developer, back-end","1,000 to 4,999 employees",Individual contributor,Remote,Software Development,Canada,HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,Databricks SQL;Elasticsearch;MySQL;Redis;SQLite,248058.0,44.0
10461,35-44 years old,Some college/university study without earning a degree,Employed,12.0,25.0,"Developer, full-stack",Less than 20 employees,Individual contributor,Remote,Software Development,Germany,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,MariaDB;MySQL;PostgreSQL,69609.0,44.0
1048,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,1.0,6.0,"Developer, full-stack",20 to 99 employees,Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,Finland,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Cosmos DB;InfluxDB;MySQL;PostgreSQL,49886.0,34.0
10505,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,25.0,25.0,"Architect, software or solutions",Less than 20 employees,People manager,"Hybrid (some in-person, leans heavy to flexibility)",Computer Systems Design and Services,Brazil,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server;PostgreSQL;Redis;Valkey,21844.0,54.0
10512,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,6.0,9.0,"Developer, full-stack",Less than 20 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Retail and Consumer Services,Sweden,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,MySQL;PostgreSQL;Supabase,41929.0,34.0
10531,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,16.0,23.0,Engineering manager,500 to 999 employees,People manager,Remote,Fintech,Brazil,Elixir;Erlang;HTML/CSS;Lua;Python;Ruby,BigQuery;PostgreSQL,101941.0,44.0
10540,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,12.0,12.0,"Architect, software or solutions","1,000 to 4,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Germany,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,Microsoft Access;Oracle;Redis,83531.0,34.0
10549,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,8.0,10.0,Academic researcher,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Germany,Bash/Shell (all shells);Java;JavaScript;PowerShell;Python;TypeScript,H2;Neo4J;Redis;SQLite,75410.0,34.0
10571,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,6.0,10.0,"Developer, full-stack","10,000 or more employees",People manager,"Hybrid (some in-person, leans heavy to flexibility)",Healthcare,United States of America,HTML/CSS;JavaScript;PHP;Python;SQL,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,85000.0,34.0
1058,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,13.0,18.0,"Developer, desktop or enterprise applications","10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,United States of America,JavaScript;PowerShell;Rust;TypeScript,None,200000.0,44.0
10590,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,20.0,30.0,"Developer, back-end","10,000 or more employees",Individual contributor,Remote,Software Development,United States of America,C++;HTML/CSS;JavaScript;PHP;Python;SQL,MySQL,500000.0,44.0
1062,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,9.0,16.0,"Developer, front-end","10,000 or more employees",Individual contributor,Remote,Insurance,Germany,HTML/CSS;JavaScript;SQL;TypeScript,PostgreSQL,92812.0,44.0
10636,35-44 years old,Some college/university study without earning a degree,Employed,7.0,10.0,"Developer, full-stack",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Canada,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,MariaDB;MySQL,56908.0,44.0
10637,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,23.0,42.0,"Developer, back-end",20 to 99 employees,Individual contributor,Remote,Software Development,United States of America,Bash/Shell (all shells);Elixir;Erlang;Go;HTML/CSS;JavaScript;Lua;Python;TypeScript,DuckDB;PostgreSQL;Redis;Valkey,160000.0,54.0
10648,25-34 years old,Some college/university study without earning a degree,Employed,7.0,9.0,"Developer, full-stack",Less than 20 employees,Individual contributor,Remote,Software Development,United States of America,C#;HTML/CSS;JavaScript;TypeScript,Microsoft SQL Server;PostgreSQL,80000.0,34.0
10669,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,9.0,13.0,"Developer, back-end",100 to 499 employees,Individual contributor,Remote,Software Development,India,Bash/Shell (all shells);Java;JavaScript;Python;Rust;SQL,MongoDB;PostgreSQL;Redis;Snowflake;SQLite,75556.0,34.0
10680,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,1.0,2.0,"Developer, full-stack",100 to 499 employees,Individual contributor,In-person,Other:,United States of America,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;Kotlin;PowerShell;SQL;Swift;TypeScript,Microsoft SQL Server;PostgreSQL;Redis,88000.0,24.0
10687,45-54 years old,Some college/university study without earning a degree,Employed,22.0,25.0,"Developer, mobile",100 to 499 employees,Individual contributor,Remote,Software Development,Spain,Java;Kotlin;Python;Swift,Cloud Firestore;MariaDB;Microsoft SQL Server;Oracle;PostgreSQL;SQLite,34804.0,54.0
10689,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,2.0,16.0,DevOps engineer or professional,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,United States of America,Bash/Shell (all shells);C++;HTML/CSS;Rust,None,107000.0,34.0
10691,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,5.0,8.0,"Developer, mobile","1,000 to 4,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Banking/Financial Services,Poland,Swift,None,65496.0,34.0
10697,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,3.0,5.0,Other (please specify):,20 to 99 employees,Individual contributor,In-person,Banking/Financial Services,United States of America,Python,None,40000.0,24.0
10704,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",13.0,20.0,"Developer, full-stack",20 to 99 employees,Individual contributor,Remote,Fintech,Portugal,C#;SQL;TypeScript,Cosmos DB;Microsoft SQL Server;MongoDB;PostgreSQL;Redis,83531.0,34.0
10710,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,3.0,11.0,"Developer, back-end",Less than 20 employees,Individual contributor,In-person,Retail and Consumer Services,Netherlands,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,48726.0,34.0
10731,45-54 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,17.0,17.0,"Developer, front-end","10,000 or more employees",Individual contributor,Remote,"Internet, Telecomm or Information Services",South Africa,HTML/CSS;JavaScript,None,62017.0,54.0
10740,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,14.0,20.0,"Developer, front-end","5,000 to 9,999 employees",Individual contributor,Remote,Software Development,India,HTML/CSS;JavaScript;TypeScript,None,29060.0,34.0
10747,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,12.0,13.0,"Architect, software or solutions",20 to 99 employees,Individual contributor,Remote,Software Development,Brazil,Bash/Shell (all shells);Dart;GDScript;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,MongoDB;MySQL;PostgreSQL,89198.0,34.0
10748,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,9.0,13.0,"Developer, full-stack","10,000 or more employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,India,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;TypeScript,Oracle;PostgreSQL,37197.0,34.0
10751,25-34 years old,Some college/university study without earning a degree,Employed,10.0,15.0,"Developer, back-end","1,000 to 4,999 employees",People manager,Remote,Fintech,France,HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,PostgreSQL,92812.0,34.0
10752,65 years or older,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Independent contractor, freelancer, or self-employed",35.0,40.0,"Developer, full-stack",20 to 99 employees,Individual contributor,Remote,Manufacturing,Germany,Bash/Shell (all shells);C#;C++;Go;HTML/CSS;PowerShell;Python;SQL,Microsoft SQL Server;SQLite,104413.0,
10769,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,12.0,14.0,"Developer, mobile",Less than 20 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,United States of America,Java;Kotlin;Swift,None,154000.0,34.0
10775,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,6.0,8.0,"Developer, mobile",20 to 99 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)","Internet, Telecomm or Information Services",Switzerland,JavaScript;Kotlin;Swift;TypeScript,None,96714.0,34.0
10799,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,1.0,10.0,"Developer, full-stack","1,000 to 4,999 employees",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Manufacturing,Germany,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Python;TypeScript,Dynamodb,58587.0,24.0
10806,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,29.0,32.0,"Architect, software or solutions",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Healthcare,Canada,Bash/Shell (all shells);C++;Go;HTML/CSS;JavaScript;PHP;PowerShell;TypeScript,Microsoft SQL Server;MySQL;PostgreSQL,109438.0,54.0
1082,55-64 years old,Some college/university study without earning a degree,"Independent contractor, freelancer, or self-employed",42.0,44.0,"Architect, software or solutions",20 to 99 employees,Individual contributor,Remote,Software Development,United States of America,C;C++,None,250000.0,64.0
10821,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,20.0,25.0,"Developer, back-end","10,000 or more employees",Individual contributor,Remote,Software Development,Canada,C#;JavaScript;PowerShell;Python;SQL;TypeScript,Microsoft SQL Server;PostgreSQL;Redis;SQLite,116733.0,54.0
10828,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,1.0,8.0,"Developer, full-stack",100 to 499 employees,Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Government,Hungary,C;C++;HTML/CSS;Java;JavaScript;Lua;PHP;Python;SQL,MariaDB,23133.0,34.0
10838,35-44 years old,"Associate degree (A.A., A.S., etc.)",Employed,20.0,25.0,"Developer, full-stack","1,000 to 4,999 employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Higher Education,Canada,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,MariaDB;MySQL,73932.0,44.0
10856,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,13.0,18.0,"Developer, back-end",100 to 499 employees,Individual contributor,Remote,Banking/Financial Services,Germany,Bash/Shell (all shells);Dart;Java;SQL,H2;Oracle;PostgreSQL,99773.0,44.0
10858,18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,6.0,7.0,"Developer, full-stack",100 to 499 employees,Individual contributor,Remote,Government,United States of America,HTML/CSS;JavaScript;Python;SQL;TypeScript,PostgreSQL,102000.0,24.0
